Color,Condition,Cylinders,Drive,Fuel,Make,Model,Odometer,Price,Title,Transmission_Automatic,Year
Black,Excellent,6,4Wd,Gas,Bmw,X5,200000,3900,Clean,1,2001
Black,Excellent,6,Rwd,Gas,Toyota,4Runner,220000,8900,Clean,1,1998
White,Good,4,Fwd,Gas,Honda,Accord,202000,5000,Clean,1,2004
Green,Excellent,4,Fwd,Hybrid,Toyota,Camry,210894,6300,Salvage,1,2009
White,Good,8,Rwd,Gas,Gmc,Sierra,119375,11750,Clean,1,2006
Silver,Good,4,4Wd,Gas,Lexus,Rx,151265,9000,Clean,0,2009
White,Like New,4,Fwd,Gas,Nissan,Nv200,64000,17800,Salvage,1,2019
White,Good,6,Rwd,Gas,Toyota,Tundra,121977,2600,Clean,1,2001
White,Like New,4,Fwd,Gas,Toyota,Scion,81319,7900,Salvage,1,2014
Blue,Salvage,4,Fwd,Gas,Honda,Accord,127000,10000,Salvage,1,2015
Red,Good,6,4Wd,Gas,Jeep,Wrangler,262000,12000,Clean,1,2007
White,Excellent,8,Rwd,Gas,Chevrolet,Express,109580,10900,Clean,1,2008
Brown,Excellent,8,Fwd,Gas,Ford,F250,143399,10000,Clean,0,1982
White,Good,4,Fwd,Gas,Ford,F150,198120,3800,Clean,1,2007
White,Good,4,Fwd,Gas,Nissan,Nv200,155013,10000,Clean,1,2016
Grey,Excellent,4,Fwd,Gas,Toyota,Highlander,142000,4800,Clean,1,2007
Black,Excellent,6,Fwd,Gas,Mercedes,Ml350,187000,4900,Clean,1,2009
Silver,Like New,4,Fwd,Gas,Toyota,Corolla,25000,8500,Clean,1,2003
White,Fair,4,Fwd,Gas,Honda,Accord,125000,7000,Clean,1,2012
Black,Excellent,4,Fwd,Gas,Hyundai,Elantra,42000,11500,Salvage,1,2018
Silver,Excellent,4,Rwd,Gas,Honda,Civic,114000,11900,Clean,1,2014
Black,Excellent,6,Fwd,Gas,Jeep,Wrangler,232250,11500,Clean,1,2008
White,Good,4,Rwd,Gas,Toyota,Camry,106893,5800,Salvage,1,2009
Black,Good,8,Rwd,Gas,Cadillac,Escalade,136900,11500,Clean,1,2010
Red,Excellent,6,4Wd,Gas,Jeep,Liberty,192000,5000,Clean,1,2009
Green,Excellent,6,4Wd,Gas,Jeep,Wrangler,54000,22000,Clean,0,1999
White,Excellent,8,4Wd,Gas,Chevrolet,Express,72000,24000,Clean,1,2014
White,Excellent,6,4Wd,Gas,Ford,Econoline,157000,5350,Clean,1,2002
Grey,Good,4,Fwd,Gas,Chevrolet,Equinox,170000,5500,Clean,1,2012
White,New,4,Fwd,Gas,Honda,Accord,30000,18700,Salvage,1,2021
Black,Good,6,4Wd,Gas,Jeep,Wrangler,167000,18000,Clean,0,1999
White,Salvage,4,Fwd,Gas,Nissan,Sentra,240000,1000,Salvage,1,2006
Grey,Excellent,6,Rwd,Diesel,Dodge,Ram,197800,18000,Clean,1,2007
Black,Excellent,4,Rwd,Gas,Honda,Accord,101000,7800,Clean,1,2012
Grey,Good,4,Fwd,Gas,Honda,Civic,182000,2700,Salvage,1,2005
Grey,Excellent,6,Rwd,Gas,Infiniti,G35,125389,5800,Clean,1,2003
Blue,Excellent,8,Rwd,Gas,Chevrolet,Silverado,263000,6000,Clean,1,2002
White,Excellent,4,Rwd,Gas,Volkswagen,Tiguan,29600,23995,Clean,1,2019
